d,n,lamb,pp_train_mean,pp_train_std,pp_test_mean,pp_test_std,jorg_train_mean,jorg_train_std,jorg_test_mean,jorg_test_std
20,10,0.7,75342.6647767792,91895.99188288157,83182.48251232917,114126.3593603293,128564.65210600478,199225.72088080432,141501.8976289203,247870.32833856184
20,10,0.9,36459.18553981318,44069.39756348409,39956.22237940024,53337.62373865761,59898.939050607514,89084.44371623578,66216.40297929304,109210.11291298529
20,10,1.0,26914.942831406675,33164.511191913436,29541.69991355901,40310.03449921368,44869.136098286894,69360.92081517258,49514.54858871769,85457.62543575553
20,10,1.1,21241.678647468798,26156.605892275304,23589.08844727729,32644.87082338318,34321.06790024212,51859.71047837151,38120.57141351965,63573.92544742419
20,10,1.3,13104.358295795688,16196.206931759749,14431.396686852175,19840.347968708247,21781.92300378168,33418.49401237309,24398.2905651856,41688.23704673819
20,10,1.5,8806.65305706457,10747.215405876079,9653.506089479417,13297.990762602954,14565.208744686957,23242.643413991147,16153.615926440167,28158.154285626846
20,50,0.01,714796533.6535984,854313747.2974584,680398732.5417016,833672509.9747579,973941808.709134,1224770914.9310672,926832681.5498555,1201600214.55524
20,50,0.05,5765352.88863381,6838448.364671106,5515824.573064932,6750766.791051431,8215642.882633467,10441114.64264524,7873186.897491367,10198576.699753726
20,50,0.1,754919.0888760574,892270.496015794,715923.3719983415,869253.1324710851,1065933.6507090407,1305437.7507866197,1018652.0232734844,1290564.9201627462
20,50,0.3,30699.63469581009,37139.06044351168,29383.65507591779,36510.19088091423,42682.956359826756,51618.155984857745,40829.37818989931,50910.964413414025
20,50,0.5,7135.711473055714,8440.115334880405,6787.0588222368915,8242.641327480878,10079.13379998462,12512.679416048577,9614.717277200065,12284.363802216852
20,50,0.7,2753.7756236939817,3216.3889120976337,2629.7980107715,3166.6333195493767,3819.523132702724,4898.308736218274,3664.700888533451,4943.409208751562
20,50,0.9,1321.8649079995148,1558.4742886397614,1258.4924689759657,1519.8367662635467,1858.473809510062,2312.0867732520596,1777.1287406098581,2278.728481015252
20,50,1.0,998.5101896099521,1163.3627571121033,954.2179512692812,1146.5386599554872,1399.0028911650309,1723.2681074372945,1330.3647137870935,1686.0861732211586
20,50,1.1,748.124914309351,865.9207637768633,712.9874853480436,850.5248220183553,1081.8556179051307,1324.6617197033952,1031.3500877681793,1304.09774979347
20,50,1.3,473.7707227981961,562.7675784976979,452.63508517275835,554.8248552475874,650.6509002130467,807.0853439576641,617.5445262335838,782.6219894045835
20,50,1.5,323.3097358192262,384.8682354153254,309.66885154122923,377.25854019020056,454.3380340223024,578.2843082054808,433.1678777452005,562.8320150513384
20,100,0.01,172607178.40610462,203120189.4579286,166387505.72640142,191824336.06757626,240226336.9315058,292765556.9437314,230840701.4683828,274867186.009583
20,100,0.05,1459916.608881691,1740668.7581867408,1401936.0341375095,1636983.1519351178,2022749.2604916901,2454902.8196771163,1952194.1591539104,2337981.893882463
20,100,0.1,191597.55512119122,226003.53930024029,185118.31031031066,215114.91146956038,260210.7923077362,314929.8006462439,249949.55718594536,294040.98856483534
20,100,0.3,7807.712366054257,9169.565289245222,7529.237655719313,8625.879979820918,10392.119039242943,12765.523279488274,10010.651330459124,12032.499950245396
20,100,0.5,1748.1105485011012,2056.8660226626503,1687.3091959356072,1942.7587811492729,2449.1158356907413,2935.0866238839812,2356.1336421973133,2765.714357631632
20,100,0.7,697.8204986180198,840.0043829184762,672.7967326141587,791.7645610086903,950.3802710263278,1137.1635280037656,912.6486994163034,1076.4280793244682
20,100,0.9,331.7174525539564,392.0567931332728,320.1318200698524,370.8675314116668,454.88608632662726,557.956943219353,438.804531747419,530.887755919631
20,100,1.0,251.28862224707757,294.98615242679756,242.0596303353379,278.19289233006134,337.94116798705767,408.0729494449565,324.72194354313297,384.92318926536063
20,100,1.1,187.7004341718488,222.07457505200134,181.66136455102733,210.75519182267936,266.90342164810755,327.25523644836585,257.3600356546049,310.1327828851534
20,100,1.3,120.02223972139265,142.99321937630114,115.76596724537448,135.13377084808445,168.4827866536096,209.3665236543851,162.39472462718732,197.46411340566343
20,100,1.5,80.16414508571965,95.98171011860805,77.20543861576039,90.91485800521349,108.44672376590194,136.98406594223425,104.31582725271184,129.1351796038755
20,200,0.01,44019068.96037251,52482353.40056018,44288310.570493735,53452664.487358965,60093068.47733152,71805388.68975678,60645147.199688174,73384861.23892333
20,200,0.05,371322.2561280141,420448.6989717705,374223.18382531777,431289.71453826723,515046.09561563894,619910.4085769525,519470.7481644796,634051.4569004279
20,200,0.1,48092.258558280286,55320.16852477777,48489.79266448698,56695.302606393976,66543.72514880268,81961.43685725248,67074.66582364876,83663.43070100647
20,200,0.3,1960.9449627654583,2282.9973057809398,1978.837352155529,2345.017680099252,2691.875447214608,3142.2263286198377,2713.730629433043,3201.7180288151812
20,200,0.5,467.8319944518066,558.0408497602342,471.2953035878457,568.5283406019664,631.5342155159551,755.6529805405733,636.8852859823875,776.6162902773332
20,200,0.7,172.79345635468187,203.1377394576069,174.433802033329,207.83766330266525,236.4732037353116,275.89035018935857,237.75675651887306,281.08122490385205
20,200,0.9,86.09070817680646,100.17418214945617,86.87204934693361,102.38082296642625,115.93475885664485,138.7700978323944,116.88850629406413,141.26101398741162
20,200,1.0,61.92309657299231,71.401984658995,62.33924742122523,72.64410871934118,87.97714714522974,106.55967664769975,88.70705306218473,109.0408966595096
20,200,1.1,47.96059805532774,56.44964857683979,48.427582660312424,57.85150763091607,65.1026924997,77.94199510191915,65.72178898909101,80.23628071995228
20,200,1.3,30.409595827771536,36.00061814565808,30.64553733806126,36.76133989895741,41.2180547925868,48.837523360514595,41.59494381606813,49.95379613639773
20,200,1.5,20.51121215659141,24.098092867910047,20.635777927945536,24.53648412123,27.54757269704263,32.1082813435719,27.747947742708558,32.80055304199461
30,10,0.01,84317214592.51608,100623446871.05498,83266382066.7646,100568106261.78975,147455381458.54074,226819229256.92255,146026284109.94357,224540131161.1214
30,10,0.05,736295443.5363767,887260360.0102341,719812057.1164188,881149300.5016463,1200424342.495743,1839065184.1742003,1156944867.5822444,1757756580.3344018
30,10,0.1,93866499.3455423,111761407.09325343,91561401.5357873,111460966.2895284,151101569.53856787,228352629.22955948,147038562.12649462,219238891.96912038
30,10,0.3,3695020.757935139,4449511.24976703,3628392.399405095,4447874.755443241,6074214.035431889,8987446.289393218,5975186.751976538,8900859.786467526
30,10,0.5,861484.1767993412,1073716.8098810245,841846.9326336245,1083777.4046042576,1435491.4871498959,2207290.0537567227,1391962.3422532703,2202739.017832843
30,10,0.7,327300.4356060637,391761.32223174965,322224.6877288366,390565.3511617278,560192.0232476748,880092.3200636375,545444.8502748399,843330.4089539668
30,10,0.9,156566.11835248684,186569.07740162444,152459.41671979768,184171.78143599583,259958.51367269846,388133.6537751931,252352.6223089312,386725.4248469711
30,10,1.0,116284.02062931612,137240.3390985693,113334.80598299362,138135.27017552298,191310.34808241206,285680.6343188054,187651.53888691624,285303.8886614896
30,10,1.1,89466.02952164857,107442.288085351,86707.51237572594,106746.42444210815,146349.020728058,219612.7170940447,144443.90912553665,224663.70906896036
30,10,1.3,56718.85154643634,68382.39560116452,55714.37593988272,68580.17280377111,91356.25893904324,135447.32004980434,89870.35051010661,139382.81294500997
30,10,1.5,37118.38616624979,44786.90091698083,36130.521981594626,44608.782456837806,61407.04051332278,91501.02645851046,59268.71485714762,90975.59733740977
30,50,0.01,3387872226.799008,3835588426.510059,3230373973.261139,3714515789.0642333,4947234774.056945,6048492983.543537,4704949510.746621,5854169011.748899
30,50,0.05,28728174.154427074,32215938.988407686,27478633.904922497,31297650.24916809,39775256.747725315,47353488.92135659,37948291.383613676,45998577.63196551
30,50,0.1,3631209.838929329,4086409.323003208,3461522.309924182,3966026.3162550777,5176235.858523954,6349136.441360888,4925043.527320329,6109679.406574098
30,50,0.3,147412.42087279094,166220.33515336583,140429.23324056625,161664.4480209722,207142.49721996076,257107.06968755458,197566.50305580514,247642.50344897277
30,50,0.5,34268.375793971405,38245.542866413336,32484.110475290836,36816.6890478166,47603.75420990542,57216.383636777806,45114.77834445836,54737.790220981384
30,50,0.7,12743.450846673619,14519.308227408072,12142.78637134374,14058.654840985357,17918.59536894992,21657.630636874415,17059.844867796135,21030.358478270642
30,50,0.9,6223.8834816902,6898.444347870895,5943.5567522495885,6743.558053910914,8856.011276161526,10766.044819954457,8415.780145446799,10383.4738046734
30,50,1.0,4688.542589013556,5342.1929437654335,4481.127148905984,5184.3628244902775,6671.439712305934,8200.530301585766,6316.62245546202,7908.244662214105
30,50,1.1,3548.607512152767,3949.6940870179405,3371.2331280026824,3834.7653405794517,4962.06156108998,5912.057237651833,4721.232286603355,5727.34816357807
30,50,1.3,2211.445433043051,2512.0629562150984,2098.12110801449,2440.504419823057,3104.5205962671735,3817.415390876362,2947.4141661955737,3673.2771400517677
30,50,1.5,1476.5688032951614,1671.263928511589,1404.101916703129,1618.3340439535498,2083.8603125938257,2568.591641050029,1981.532708597989,2500.8420671974172
30,100,0.01,867447629.068084,1020507820.9821607,842733892.6864105,992126638.8112577,1207192121.0860312,1438358543.579005,1169214996.1565144,1398405099.3476293
