d,n,lamb,pp_train_mean,pp_train_std,pp_test_mean,pp_test_std,jorg_train_mean,jorg_train_std,jorg_test_mean,jorg_test_std
10,50,750.0,0.26419925036165004,0.0020286391921472855,0.2332346441650248,0.0019141808549239666,0.2641966410064296,0.0022343127206635284,0.23322812406111143,0.0021037297209563965
10,50,1000.0,0.2644292441201089,0.0015234576220670177,0.2334430381412848,0.0014338850697736241,0.2644509629122284,0.001687305746197537,0.23346290061246827,0.0015838492667749505
10,50,2000.0,0.2647949294116551,0.00075452637644196,0.23378562083309945,0.000713153184752509,0.264794618476344,0.0008422661676888652,0.2337836882851886,0.0007917889923912306
10,100,0.1,89.29846557813346,49.76013471807853,87.26227907271563,49.17187709913563,99.34444192916409,55.63995042510035,96.97915185323077,54.7911711204551
10,100,0.2,32.52412787125969,18.125927467476174,31.724509580480227,17.82068176244662,36.25839656267589,20.17206414143417,35.35435913022222,19.876848243564307
10,100,0.5,8.878445547949577,4.909957200761738,8.67304351638183,4.823996402401328,9.994183796829851,5.642398660214774,9.76133213333677,5.58042243871235
10,100,1.0,3.3706322624558345,1.8529274293983138,3.2859465300599577,1.8262333331032117,3.7657882344426645,2.083078357479521,3.676667199162084,2.058658064195282
10,100,3.0,0.7673356324949112,0.41782558337201975,0.7473790763838677,0.4119427736422417,0.8629130295496515,0.46898392431891683,0.8408263868935213,0.4641703486499612
10,100,5.0,0.4013190477709201,0.2154201170035881,0.38891508795415114,0.21381206036376807,0.4509032092171353,0.24372646484936347,0.43784903746888004,0.24165184696097852
10,100,10.0,0.1905403999753626,0.0820527901052902,0.18214303435591472,0.08602678481724466,0.20775974171134048,0.09336867479140736,0.19858016453211516,0.09640962078160098
10,100,30.0,0.10404741827533576,0.013151625216037535,0.097760890443371,0.019691386049258693,0.10610088303607149,0.014836382087121387,0.09952064441999732,0.021671805631387625
10,100,50.0,0.09932905884174488,0.006666836518563507,0.09411851447860377,0.011277110404692748,0.09987471579748658,0.007506815788973662,0.09454247245619453,0.012435480783107598
10,100,70.0,0.09823219956316591,0.004399857177459228,0.09328335823874681,0.007745006576814144,0.09844485965243348,0.0049835434217899354,0.09335306027383888,0.008746487922979416
10,100,100.0,0.09777655690186031,0.0029213848983356294,0.09302794100720223,0.005258010291176836,0.09784571019025076,0.003308694237395284,0.09303929907785445,0.005870283995550801
10,100,250.0,0.097559681728101,0.0010963876397546291,0.09303603793019963,0.001983875730687882,0.09758679201577156,0.0012550042017975568,0.09305280727387533,0.002288638227163718
10,100,500.0,0.09756428177825985,0.0005508817636062005,0.09308472305590133,0.0009995047983910668,0.09755361648871749,0.0006181895977877561,0.09306606147678671,0.0011141004982377224
10,100,750.0,0.09757560265028874,0.0003644151146464197,0.09312213464058941,0.0006566554943308162,0.09757663558598786,0.00040520731901468585,0.09311324698278647,0.0007337622796952253
10,100,1000.0,0.09758516346814121,0.0002737821480765192,0.09313837618716125,0.0004938923667827944,0.09758202643181209,0.0003065245272580401,0.09312715078548646,0.0005556320509409238
10,100,2000.0,0.0975979527036392,0.000134558601789797,0.09316085415692386,0.00024332531628009352,0.0975972259138714,0.00015271727513834906,0.09315973661117728,0.00027362796515305635
10,200,0.1,43.75756885886876,24.19298951481203,44.182328265407435,24.668819021861857,49.1972985640246,27.19940947455372,49.667804456069376,27.72358460897664
10,200,0.2,16.22535621344189,9.118598294219856,16.376584269240425,9.286608191724056,18.321949925310754,10.16517784857571,18.526502992448126,10.36318317795879
10,200,0.5,4.404409863664445,2.4759078597489337,4.453069593187162,2.527384168056492,4.915216052272576,2.755614435714341,4.961851994800145,2.8113132106863596
10,200,1.0,1.663842171156028,0.9126803934198487,1.6830639888673105,0.9337615207902463,1.889422928933285,1.0496863157719982,1.9079772399010066,1.0704664498868324
10,200,3.0,0.38696195950294615,0.2051314347184882,0.39069199538653343,0.20992117939689875,0.43321600143831945,0.23309145288478794,0.4368856561086534,0.23804089154375996
10,200,5.0,0.2179952683941423,0.10184512209993572,0.2201218250025771,0.1056883838305142,0.23843116540384746,0.11669910750430525,0.24032309481515376,0.12038809224811023
10,200,10.0,0.12558069620989573,0.03674435944948477,0.12688434017887912,0.0400811390235207,0.1326799969644483,0.043214563361980894,0.13389089917852712,0.04647802641781759
10,200,30.0,0.09704560143509082,0.006748665842974634,0.0991263062154754,0.008717533751609408,0.09755049578673484,0.007626628994980174,0.0995998639095141,0.009835627547318784
10,200,50.0,0.0961163336970988,0.0036348327077980877,0.0984147101928358,0.004794372799259623,0.09629927736182382,0.004141528608713589,0.09860065383126777,0.005416810998460136
10,200,70.0,0.09596391430011537,0.002484115267787115,0.0983260040786314,0.003273203486586454,0.09601786388902578,0.0028043667306890886,0.09836799833444419,0.003708121838711766
10,200,100.0,0.09598183332214694,0.0016999951946109959,0.09839660490263027,0.0022479161304229324,0.0959858545785407,0.0018934804483995828,0.0983913251015878,0.0025004732582432415
10,200,250.0,0.09608291642027561,0.0006380950210470674,0.09855610464100792,0.0008456073668922088,0.09608888967231348,0.0007198389417721878,0.09857180969681681,0.0009527806818020301
10,200,500.0,0.09613671388185512,0.00031916363470240995,0.09863302488852878,0.000423542754461923,0.09613704207217189,0.0003527404472976675,0.09863363299232387,0.00046525056890319604
10,200,750.0,0.09615949678961186,0.00021089298434899756,0.09866306179287157,0.0002785424680057137,0.09615815042575562,0.00023641532153834474,0.09866072508082509,0.00030912559579122597
10,200,1000.0,0.09617320091848096,0.00015789158626029103,0.09867958897515415,0.00020805805273217386,0.09617064382979998,0.0001771229638187344,0.09867740651591128,0.00023291275685419322
10,200,2000.0,0.09618622708209969,7.932655649738767e-05,0.0986966412966274,0.00010401887131631922,0.09618549902518027,8.775276803735127e-05,0.09869561838827222,0.00011569418071870464
20,10,0.2,1169.7630164860918,630.0023278047848,1061.5096661528978,689.7147006982949,1328.8582535614173,782.7568402604136,1221.424735290604,840.6159321434234
20,10,1.0,115.01097451103544,62.11033495545775,104.25061118478293,67.1679526922222,132.11636453486116,77.82392284276123,120.68269667305448,83.56984463278194
20,10,2.0,44.156774451096005,23.856572558568654,40.05989570934109,25.851810402061222,50.369011403299915,29.31354883114461,45.806404493840496,30.953220143744
20,10,6.0,9.849111053797998,5.363890376593531,8.997722493345345,5.859191254085448,11.421874974684599,6.717130990640493,10.405609220653107,7.157133803169733
