d,n,lamb,unreg_pp_test_mean,unreg_nonpp_test_mean,reg_pp_test_mean,reg_nonpp_test_mean,unreg_jorg_max_test_mean,unreg_jorg_avg_test_mean,type1_nonpriv_loss,reg_jorg_max_test_mean,reg_jorg_avg_test_mean,type2_nonpriv_loss,unreg_pp_test_std,unreg_nonpp_test_std,unreg_jorg_max_test_std,unreg_jorg_avg_test_std,reg_pp_test_std,reg_nonpp_test_std,reg_jorg_max_test_std,reg_jorg_avg_test_std,unreg_pp_baseline_test_mean,unreg_jorg_baseline_test_mean,jorg_baseline_test_mean,unreg_pp_baseline_test_std,unreg_jorg_baseline_test_std,jorg_baseline_test_std
30,100,25.0,0.32485357458911884,269.2625170006581,24.202066943032733,20881.31535700335,0.49195119610617477,0.9209890295038026,1.1185383581407654e-31,37.06113648288824,70.4356440895514,0.0035222319656711444,0.370028769232408,308.42236240309643,0.6000542408528441,1.0661076137832857,8.966156869963745,7833.444910280615,17.03120594554069,28.205327722788947,1.1185383581407654e-31,1.1185383581407654e-31,269.1393128429078,0.0,0.0,311.8140064142825
30,100,50.0,0.0494872664709341,39.3016999726521,7.060998356645397,6022.906549007666,0.07231536814395705,0.1373345288516193,1.1185383581407654e-31,10.840038047525033,20.29256420138738,0.0036283920469851773,0.053655739776667655,44.01868918103022,0.08475819087158375,0.15462754157663258,2.6305840403715295,2200.580834316027,5.0357669641490945,7.932278811806289,1.1185383581407654e-31,1.1185383581407654e-31,39.883313551739455,0.0,0.0,44.89639821790361
30,100,75.0,0.019066715132248255,13.604009894227227,3.6076953061844224,3059.43504129404,0.02706064607438394,0.049454977605280816,1.1185383581407654e-31,5.459295529618098,10.37261774999196,0.0036698640387264683,0.018965202569768306,15.468573309649122,0.029525084684237715,0.05389583053861592,1.340493375119068,1138.4491117524556,2.5271660478354674,4.0513503618663105,1.1185383581407654e-31,1.1185383581407654e-31,13.47326075743662,0.0,0.0,15.457494596981585
30,100,100.0,0.011280126844537166,6.523345245480432,2.320790125695034,2004.00104514477,0.015160375922688088,0.025899708937265672,1.1185383581407654e-31,3.51192977484417,6.740047441512684,0.0036919736642782607,0.010290732890295785,7.616602426745651,0.015402133424681792,0.02701269177324098,0.8536623705416375,737.1218964603094,1.6108238719533734,2.6562782514924415,1.1185383581407654e-31,1.1185383581407654e-31,6.458809175152248,0.0,0.0,7.313457363097883
30,100,125.0,0.008125977488657796,3.817863165541748,1.680348385152355,1438.3172748851991,0.010208034966548237,0.016414106899562873,1.1185383581407654e-31,2.561184008647417,4.892035091168987,0.0037057153132218973,0.006379759768415413,4.43790996600618,0.008872219427508175,0.015851942021671502,0.6172546256213556,534.802203104342,1.1751679487993756,1.9173270110329743,1.1185383581407654e-31,1.1185383581407654e-31,3.7454916360223827,0.0,0.0,4.325608364423869
30,100,150.0,0.006540156929553728,2.4839617739210733,1.3172596545942974,1131.185594059761,0.008059894194942494,0.01194157780197789,1.1185383581407654e-31,2.0049649620751255,3.779673614943104,0.003715083873622593,0.0043428503104020405,2.859263110800388,0.006587999931168793,0.011013642961176535,0.4863512768238169,412.94000690812425,0.9241069735128178,1.4610187711452052,1.1185383581407654e-31,1.1185383581407654e-31,2.4692689323122856,0.0,0.0,2.8107396640904825
30,100,175.0,0.0056525816212071815,1.7599095454395928,1.0825968131432016,924.3106540176107,0.006617165288067156,0.009392646915939981,1.1185383581407654e-31,1.6363415171623104,3.11556828585827,0.003721880359908178,0.003314948301549918,2.0531658776085773,0.004530683151472166,0.007848866863603981,0.39517147914068734,344.1754070538842,0.7492001459619309,1.226434814881076,1.1185383581407654e-31,1.1185383581407654e-31,1.676381047782317,0.0,0.0,1.8904590127154348
30,100,200.0,0.00516105324875504,1.280144210314004,0.9010700312344223,775.027219008411,0.005943445965077844,0.00794311558740933,1.1185383581407654e-31,1.3822509942318497,2.629690330277616,0.003727036165081379,0.0027662057513452966,1.4717087306135725,0.0037521564803740096,0.006260630285483165,0.32944761660570787,287.23137311866697,0.638614989164753,1.0077718339542014,1.1185383581407654e-31,1.1185383581407654e-31,1.294865047963271,0.0,0.0,1.490580287487382
30,100,300.0,0.004284359985925677,0.5364845564260304,0.5539039281725383,471.53642332171296,0.004627136425429449,0.0054566979991154795,1.1185383581407654e-31,0.8382072312253447,1.5958927919059551,0.003739265792413229,0.0015326853853387002,0.6283791390378696,0.002058853883372057,0.00312907516670099,0.20246318592366178,173.55448626769856,0.39057654701940697,0.6211914959951632,1.1185383581407654e-31,1.1185383581407654e-31,0.5163116866882751,0.0,0.0,0.5898113078640508
30,100,400.0,0.004042337244333404,0.2841466354042681,0.3955914854741161,337.36059065114847,0.004208594173968155,0.0046414255074148396,1.1185383581407654e-31,0.6053883865510313,1.1446110745829547,0.0037454877039748108,0.0010864198431270768,0.326203116668461,0.0013878749677835797,0.0019954209747642176,0.14369780190807072,123.6681058291438,0.28162485964953565,0.444132246115315,1.1185383581407654e-31,1.1185383581407654e-31,0.2856812464921566,0.0,0.0,0.332857862035472
30,100,500.0,0.003930960138433481,0.17625771733116316,0.31248981227755895,262.96323233300984,0.00404461069069821,0.004332793794206755,1.1185383581407654e-31,0.4734489290861495,0.8992678521369484,0.003749255859525235,0.0008377525899781687,0.2003841726892236,0.0010994198325645955,0.0015519023713711476,0.11386776745486477,96.65372495424332,0.21989598399885052,0.35005876132061436,1.1185383581407654e-31,1.1185383581407654e-31,0.17387301362775862,0.0,0.0,0.19415663060769828
30,100,1000.0,0.0038007769079236027,0.04523700529455759,0.14805785914084596,124.79096908653314,0.003820894572906832,0.0038787045145187208,1.1185383581407654e-31,0.22427955696255764,0.42250638897113413,0.0037568722673257953,0.00040066178726130727,0.050123345958938956,0.0004987464323418096,0.0006867119433968037,0.0532471433849223,46.180225943957915,0.10151232480403773,0.164676758661517,1.1185383581407654e-31,1.1185383581407654e-31,0.04439176088788497,0.0,0.0,0.04668906209123654
